0.0000000000e+00	1.6923020e-02
9.0702947846e-05	2.8917390e-02
1.8140589569e-04	2.8532772e-02
2.7210884354e-04	4.4082082e-02
3.6281179138e-04	4.3228532e-02
4.5351473923e-04	3.2176918e-02
5.4421768707e-04	2.7494688e-02
6.3492063492e-04	2.8092132e-02
7.2562358277e-04	4.2083079e-02
8.1632653061e-04	4.5503250e-02
9.0702947846e-04	5.7492715e-02
9.9773242630e-04	6.5045803e-02
1.0884353741e-03	6.3059822e-02
1.1791383220e-03	5.8803718e-02
1.2698412698e-03	4.6536340e-02
1.3605442177e-03	5.0373130e-02
1.4512471655e-03	5.4406754e-02
1.5419501134e-03	5.4999783e-02
1.6326530612e-03	6.2245731e-02
1.7233560091e-03	4.9838501e-02
1.8140589569e-03	3.6625247e-02
1.9047619048e-03	3.3179929e-02
1.9954648526e-03	2.3687703e-02
2.0861678005e-03	1.4803891e-02
2.1768707483e-03	2.0409281e-02
2.2675736961e-03	3.6264067e-02
2.3582766440e-03	4.5962352e-02
2.4489795918e-03	3.6636133e-02
2.5396825397e-03	3.6096096e-02
2.6303854875e-03	3.7994785e-02
2.7210884354e-03	1.9396113e-02
2.8117913832e-03	1.1399835e-02
2.9024943311e-03	2.9665158e-03
2.9931972789e-03	-3.8015879e-03
3.0839002268e-03	-1.9763650e-03
3.1746031746e-03	-4.3785287e-03
3.2653061224e-03	-1.0415136e-02
3.3560090703e-03	-2.1315251e-02
3.4467120181e-03	-2.5367674e-02
3.5374149660e-03	-2.4947086e-02
3.6281179138e-03	-2.3476959e-02
3.7188208617e-03	-2.4488036e-02
3.8095238095e-03	-7.4047546e-03
3.9002267574e-03	1.5431251e-02
3.9909297052e-03	2.7555615e-02
4.0816326531e-03	4.8073410e-02
4.1723356009e-03	5.9395720e-02
4.2630385488e-03	7.4923395e-02
4.3537414966e-03	9.1394030e-02
4.4444444444e-03	1.1825983e-01
4.5351473923e-03	1.4544818e-01
4.6258503401e-03	1.8412240e-01
4.7165532880e-03	2.2773545e-01
4.8072562358e-03	2.7521516e-01
4.8979591837e-03	3.0326882e-01
4.9886621315e-03	3.2861077e-01
5.0793650794e-03	3.4814119e-01
5.1700680272e-03	3.5615298e-01
5.2607709751e-03	3.5861217e-01
5.3514739229e-03	3.6595283e-01
5.4421768707e-03	3.7712435e-01
5.5328798186e-03	3.7874040e-01
5.6235827664e-03	3.6313698e-01
5.7142857143e-03	3.6222806e-01
5.8049886621e-03	3.7498285e-01
5.8956916100e-03	3.9617144e-01
5.9863945578e-03	4.0207327e-01
6.0770975057e-03	3.4993742e-01
6.1678004535e-03	2.2107545e-01
6.2585034014e-03	2.5987617e-02
6.3492063492e-03	-1.8556151e-01
6.4399092971e-03	-3.3676377e-01
6.5306122449e-03	-4.1466506e-01
6.6213151927e-03	-4.2738320e-01
6.7120181406e-03	-4.1861331e-01
6.8027210884e-03	-3.8432152e-01
6.8934240363e-03	-3.2689379e-01
6.9841269841e-03	-3.2162487e-01
7.0748299320e-03	-1.1743325e-01
7.1655328798e-03	1.0014502e-02
7.2562358277e-03	6.9246351e-02
7.3469387755e-03	1.1103342e-01
7.4376417234e-03	1.4078218e-01
7.5283446712e-03	1.6751122e-01
7.6190476190e-03	2.0671193e-01
7.7097505669e-03	2.4256787e-01
7.8004535147e-03	2.5221233e-01
7.8911564626e-03	2.5037765e-01
7.9818594104e-03	2.2411850e-01
8.0725623583e-03	1.6430554e-01
8.1632653061e-03	1.1340956e-01
8.2539682540e-03	6.4905443e-02
8.3446712018e-03	2.5978293e-02
8.4353741497e-03	2.6589949e-03
8.5260770975e-03	6.4227322e-03
8.6167800454e-03	3.8592299e-03
8.7074829932e-03	-6.7651772e-03
8.7981859410e-03	-9.3518430e-03
8.8888888889e-03	-3.8444008e-02
8.9795918367e-03	-6.7871475e-02
9.0702947846e-03	-9.7555178e-02
9.1609977324e-03	-1.0781151e-01
9.2517006803e-03	-1.0967260e-01
9.3424036281e-03	-9.4904185e-02
9.4331065760e-03	-8.7641072e-02
9.5238095238e-03	-9.4983550e-02
9.6145124717e-03	-1.0105593e-01
9.7052154195e-03	-1.0744750e-01
9.7959183673e-03	-1.0598941e-01
9.8866213152e-03	-7.7166130e-02
9.9773242630e-03	-5.5631833e-02
1.0068027211e-02	-5.1890546e-02
1.0158730159e-02	-5.5508223e-02
1.0249433107e-02	-6.7757379e-02
1.0340136054e-02	-8.2510505e-02
1.0430839002e-02	-1.0895698e-01
1.0521541950e-02	-1.4497394e-01
1.0612244898e-02	-1.7710413e-01
1.0702947846e-02	-2.0849546e-01
1.0793650794e-02	-2.3996954e-01
1.0884353741e-02	-2.5531717e-01
1.0975056689e-02	-2.7209429e-01
1.1065759637e-02	-2.9816853e-01
1.1156462585e-02	-3.2080054e-01
1.1247165533e-02	-3.3916462e-01
1.1337868481e-02	-3.3302226e-01
1.1428571429e-02	-3.0438429e-01
1.1519274376e-02	-2.5429995e-01
1.1609977324e-02	-2.0802857e-01
1.1700680272e-02	-1.6627957e-01
1.1791383220e-02	-1.1844553e-01
1.1882086168e-02	-8.4867515e-02
1.1972789116e-02	-5.8019567e-02
1.2063492063e-02	-3.7606917e-02
1.2154195011e-02	-2.8355332e-02
1.2244897959e-02	-3.6376625e-02
1.2335600907e-02	-5.7428607e-02
1.2426303855e-02	-9.3232965e-02
1.2517006803e-02	-1.4543925e-01
1.2607709751e-02	-2.0137701e-01
1.2698412698e-02	-2.4636752e-01
1.2789115646e-02	-2.9020556e-01
1.2879818594e-02	-3.4208193e-01
1.2970521542e-02	-3.8119373e-01
1.3061224490e-02	-4.1531655e-01
1.3151927438e-02	-4.4498158e-01
1.3242630385e-02	-4.6212171e-01
1.3333333333e-02	-4.5980236e-01
1.3424036281e-02	-4.5965756e-01
1.3514739229e-02	-4.4002092e-01
1.3605442177e-02	-4.4571177e-01
1.3696145125e-02	-4.4511066e-01
1.3786848073e-02	-4.4466875e-01
1.3877551020e-02	-4.5031522e-01
1.3968253968e-02	-4.5638201e-01
1.4058956916e-02	-4.4283186e-01
1.4149659864e-02	-4.2673274e-01
1.4240362812e-02	-3.9721353e-01
1.4331065760e-02	-3.6978928e-01
1.4421768707e-02	-3.3272654e-01
1.4512471655e-02	-2.9563676e-01
1.4603174603e-02	-2.5328071e-01
1.4693877551e-02	-2.1972496e-01
1.4784580499e-02	-1.8197891e-01
1.4875283447e-02	-1.4431825e-01
1.4965986395e-02	-1.2286919e-01
1.5056689342e-02	-1.1676973e-01
1.5147392290e-02	-1.2337370e-01
1.5238095238e-02	-1.4872291e-01
1.5328798186e-02	-1.6640705e-01
1.5419501134e-02	-1.7925537e-01
1.5510204082e-02	-1.8379553e-01
1.5600907029e-02	-1.9209129e-01
1.5691609977e-02	-1.8904465e-01
1.5782312925e-02	-1.7046370e-01
1.5873015873e-02	-1.6048729e-01
1.5963718821e-02	-1.3305421e-01
1.6054421769e-02	-1.0976642e-01
1.6145124717e-02	-8.5653278e-02
1.6235827664e-02	-6.8516980e-02
1.6326530612e-02	-7.7118276e-02
1.6417233560e-02	-7.6653258e-02
1.6507936508e-02	-6.4476467e-02
1.6598639456e-02	-6.9194487e-02
1.6689342404e-02	-7.2737456e-02
1.6780045351e-02	-7.8446313e-02
1.6870748299e-02	-1.0928773e-01
1.6961451247e-02	-1.5599406e-01
1.7052154195e-02	-2.1867075e-01
1.7142857143e-02	-2.9889684e-01
1.7233560091e-02	-3.8244351e-01
1.7324263039e-02	-4.5657708e-01
1.7414965986e-02	-5.2600227e-01
1.7505668934e-02	-5.9031428e-01
1.7596371882e-02	-6.2018024e-01
1.7687074830e-02	-6.1997256e-01
1.7777777778e-02	-6.1055028e-01
1.7868480726e-02	-5.8540097e-01
1.7959183673e-02	-5.3751506e-01
1.8049886621e-02	-4.7989202e-01
1.8140589569e-02	-4.2173526e-01
1.8231292517e-02	-3.5945457e-01
1.8321995465e-02	-3.0307611e-01
1.8412698413e-02	-2.3817134e-01
1.8503401361e-02	-1.7067384e-01
1.8594104308e-02	-1.1536028e-01
1.8684807256e-02	-5.1222228e-02
1.8775510204e-02	7.9638703e-03
1.8866213152e-02	4.3649524e-02
1.8956916100e-02	7.7365132e-02
1.9047619048e-02	1.0331644e-01
1.9138321995e-02	1.3616361e-01
1.9229024943e-02	1.6688385e-01
1.9319727891e-02	2.1991218e-01
1.9410430839e-02	2.6127590e-01
1.9501133787e-02	2.4964234e-01
1.9591836735e-02	3.4256611e-01
1.9682539683e-02	3.6075899e-01
1.9773242630e-02	3.4971022e-01
1.9863945578e-02	3.1774792e-01
1.9954648526e-02	2.8423734e-01
2.0045351474e-02	2.2993098e-01
2.0136054422e-02	1.8591224e-01
2.0226757370e-02	1.5673473e-01
2.0317460317e-02	1.4202739e-01
2.0408163265e-02	1.6239639e-01
2.0498866213e-02	1.8916221e-01
2.0589569161e-02	2.2785991e-01
2.0680272109e-02	2.6926265e-01
2.0770975057e-02	3.0884242e-01
2.0861678005e-02	3.4090359e-01
2.0952380952e-02	3.7010769e-01
2.1043083900e-02	4.0037494e-01
2.1133786848e-02	4.0263268e-01
2.1224489796e-02	4.0112091e-01
2.1315192744e-02	3.9614481e-01
2.1405895692e-02	3.7573542e-01
2.1496598639e-02	3.6339483e-01
2.1587301587e-02	3.6101040e-01
2.1678004535e-02	3.6063130e-01
2.1768707483e-02	3.5818136e-01
2.1859410431e-02	3.7477427e-01
2.1950113379e-02	3.8990046e-01
2.2040816327e-02	3.9961754e-01
2.2131519274e-02	4.1129232e-01
2.2222222222e-02	4.0656963e-01
2.2312925170e-02	3.8373116e-01
2.2403628118e-02	3.5907428e-01
2.2494331066e-02	3.2551756e-01
2.2585034014e-02	2.9579930e-01
2.2675736961e-02	2.8347018e-01
2.2766439909e-02	2.7535316e-01
2.2857142857e-02	2.7493640e-01
2.2947845805e-02	2.9096600e-01
2.3038548753e-02	3.3101985e-01
2.3129251701e-02	3.7743692e-01
2.3219954649e-02	4.2956648e-01
2.3310657596e-02	5.0685063e-01
2.3401360544e-02	5.7269833e-01
2.3492063492e-02	6.3831683e-01
2.3582766440e-02	6.9151532e-01
2.3673469388e-02	7.3142634e-01
2.3764172336e-02	7.5771984e-01
2.3854875283e-02	7.7677628e-01
2.3945578231e-02	7.9689811e-01
2.4036281179e-02	8.0929663e-01
2.4126984127e-02	8.0913248e-01
2.4217687075e-02	8.0423004e-01
2.4308390023e-02	7.7814146e-01
2.4399092971e-02	7.4376765e-01
2.4489795918e-02	7.0050562e-01
2.4580498866e-02	6.5090121e-01
2.4671201814e-02	5.9915764e-01
2.4761904762e-02	5.5308917e-01
2.4852607710e-02	5.0862987e-01
2.4943310658e-02	4.5716153e-01
2.5034013605e-02	4.0161411e-01
2.5124716553e-02	3.4835010e-01
2.5215419501e-02	2.9604910e-01
2.5306122449e-02	2.7369514e-01
2.5396825397e-02	2.5134492e-01
2.5487528345e-02	2.4249734e-01
2.5578231293e-02	2.5824470e-01
2.5668934240e-02	2.6186267e-01
2.5759637188e-02	2.5499687e-01
2.5850340136e-02	2.4787950e-01
2.5941043084e-02	2.3245201e-01
2.6031746032e-02	2.0735352e-01
2.6122448980e-02	1.8678452e-01
2.6213151927e-02	1.8383322e-01
2.6303854875e-02	1.7859727e-01
2.6394557823e-02	1.6110933e-01
2.6485260771e-02	1.4915983e-01
2.6575963719e-02	1.4443392e-01
2.6666666667e-02	1.2912078e-01
2.6757369615e-02	1.2006509e-01
2.6848072562e-02	1.0584810e-01
2.6938775510e-02	9.2669251e-02
2.7029478458e-02	7.1594347e-02
2.7120181406e-02	5.0212266e-02
